-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-0.341204 -0.240876 3.42141
-0.368683 -0.249399 3.58742
-0.39484 -0.251428 3.3392
-0.438085 -0.258553 3.63628
-0.449059 -0.259864 3.3129
-0.491481 -0.272706 3.54096
-0.506356 -0.26646 3.24732
-2.7155 0.0449919 10.0096
-0.563473 -0.268511 3.19322
-0.593115 -0.273533 3.19737
-3.24416 0.0385535 10.0178
-0.681592 -0.278846 3.3679
-0.690756 -0.270913 3.14971
-0.727267 -0.271642 3.16464
-0.753803 -0.271061 3.11554
-0.790708 -0.274375 3.1222
-0.814962 -0.278859 3.08394
-0.895668 -0.289172 3.31835
-5.41981 0.0514944 10.0011
-0.911276 -0.290563 3.09143
-0.971021 -0.302052 3.24118
-0.968412 -0.307004 3.10527
-1.00379 -0.342487 3.25856
-0.966702 -0.383631 3.24256
-0.915789 -0.40658 3.24251
-5.58544 -0.655481 10.0005
-0.8543 -0.396982 3.22418
-0.720048 -0.372122 3.04035
-0.568864 -0.379966 3.09698
-1.74337 -0.552285 10.0197
1.29248 0.468238 -10.0032
-2.43498 -1.53283 10.0103
-0.128703 -0.387057 3.32076
-0.0769158 -0.390145 3.32353
-0.0580164 -0.386876 3.37429
-0.811321 -1.30578 10.0005
-0.853013 -0.838755 10.0483
-0.638849 -0.579152 9.99704
-1.48975 -0.84942 10.0104
-5.25913 -1.88117 10.0028
-0.207216 -0.398698 3.27729
-0.236173 -0.399845 3.29381
-0.255916 -0.395209 3.23481
-1.33116 -0.427785 9.98614
-0.328047 -0.392169 3.2658
-0.36033 -0.391245 3.27946
-0.39463 -0.386058 3.28015
-0.420066 -0.382008 3.24377
-0.453165 -0.379736 3.25888
-0.480038 -0.379313 3.23096
-0.509345 -0.366977 3.11638
-0.53873 -0.378023 3.25229
-0.547802 -0.365844 3.27244
-0.517918 -0.343006 3.29983
-0.451512 -0.327852 3.12632
-0.371248 -0.328828 3.11169
-0.286044 -0.343398 3.36955
-0.228983 -0.333321 3.44191
-0.172541 -0.341339 3.41623
-0.151372 -0.342258 3.45116
-0.139295 -0.344326 3.40521
-0.145033 -0.335876 3.20901
-0.138785 -0.339435 3.45857
-0.146095 -0.336426 3.27584
-0.130032 -0.336937 3.50814
-0.123414 -0.330517 3.27378
-0.117709 -0.332113 3.31886
-0.105777 -0.336367 3.54301
-0.0986846 -0.333919 3.57255
-0.0953368 -0.327739 3.60138
-0.0825619 -0.330753 3.40273
-0.0741919 -0.324887 3.6977
-0.0647024 -0.330996 3.48696
-0.0508589 -0.330722 3.60646
-0.0430124 -0.327419 3.65432
-0.0330568 -0.284078 3.36691
-0.0294656 -0.324831 3.66751
-0.0120292 -0.335701 3.86323
-0.0237399 -0.315102 3.91323
-0.0140958 -0.323957 3.66168
-0.0108217 -0.326649 3.70131
0.0016076 -0.334798 3.96153
0.00101335 -0.321959 3.7295
0.0348339 -0.291701 3.68176
0.107455 -0.27115 3.75667
0.15662 -0.268352 3.78421
0.181451 -0.263859 3.81209
0.202502 -0.260354 3.86807
0.205863 -0.254045 3.87189
0.218198 -0.249773 3.92429
0.218975 -0.250714 3.88893
1.63116 0.56538 10.026
2.44961 0.319162 10.0173
0.236813 -0.239035 3.94458
0.25293 -0.236689 3.99851
0.262991 -0.231456 4.02733
8.52541 2.71255 9.98848
5.5707 2.14192 9.99579
0.292913 -0.22605 4.03585
0.308236 -0.225737 4.08901
0.363712 -0.224043 4.38483
0.331095 -0.223718 4.11692
0.345897 -0.225507 4.14105
0.382358 -0.230297 4.43214
2.07428 0.113207 9.98979
0.390526 -0.228716 4.19889
0.405369 -0.232791 4.21877
0.472996 -0.232418 4.57216
0.508358 -0.23915 4.64745
0.457257 -0.238038 4.31022
0.524096 -0.234065 4.61681
0.485787 -0.234176 4.3621
0.507684 -0.231396 4.41329
0.512217 -0.230033 4.44957
0.498892 -0.230496 4.50909
1.99046 -0.13819 9.9999
0.526838 -0.215073 4.61469
0.521094 -0.224948 4.60647
0.522687 -0.218272 4.61675
0.537811 -0.216177 4.62592
0.601876 -0.210511 4.86854
0.580947 -0.217115 4.65184
0.653396 -0.213551 4.91057
0.668912 -0.219685 4.91424
0.700277 -0.222795 4.96769
0.679557 -0.223759 4.82947
0.744196 -0.225533 5.0245
0.758671 -0.224828 5.02544
0.758143 -0.220647 4.93116
0.786664 -0.218491 4.94944
0.83235 -0.219964 5.00508
0.8599 -0.210119 5.01994
0.88923 -0.205924 5.04327
10.7013 1.01632 10.0226
0.933722 -0.198676 4.96826
0.982824 -0.190606 5.04931
1.02532 -0.184593 5.12233
1.02845 -0.189357 4.94137
1.02945 -0.182671 4.87477
1.08992 -0.185241 4.94495
2.97548 0.0343506 10.0088
1.1263 -0.185676 4.89039
1.15987 -0.193138 4.91434
1.16601 -0.204918 4.85598
1.23695 -0.24874 5.06345
1.15372 -0.31167 4.89653
1.13652 -0.371746 5.11675
1.01213 -0.389483 5.10817
0.845201 -0.389749 5.2121
0.601364 -0.37861 5.04466
0.369738 -0.371735 5.05337
0.14298 -0.356114 5.03335
-0.0257047 -0.351414 5.26638
-19.9859 1.76986 9.98243
-0.27908 -0.342122 5.2813
-0.332185 -0.335205 5.03974
-0.381596 -0.338986 5.3663
-0.356466 -0.338249 4.98062
-0.325643 -0.341804 5.15091
-0.371986 -0.386576 6.66092
-0.274366 -0.350112 5.36104
-0.236593 -0.358743 5.24282
-0.215188 -0.35658 5.04343
-4.29586 -2.09986 9.88378
-0.151746 -0.369874 5.34816
-0.12977 -0.359623 5.05587
-0.106214 -0.355552 5.03367
-0.0653157 -0.355488 5.08678
-0.0315428 -0.356856 5.30577
-0.00574442 -0.353254 5.273
0.0274492 -0.349097 5.25402
0.0457824 -0.334428 5.03398
0.0745761 -0.332683 4.98853
0.129407 -0.339761 5.2743
0.162662 -0.340353 5.19859
0.195946 -0.335188 4.99774
0.230516 -0.337528 4.93681
0.293146 -0.350284 5.19124
2.16183 -0.650538 10.0044
0.307804 -0.351975 4.88088
0.359847 -0.3696 5.09751
0.353739 -0.366784 4.8862
0.376143 -0.370166 4.85848
0.390765 -0.375129 4.77415
0.409958 -0.373292 4.74316
0.43666 -0.378685 4.73047
0.516936 -0.393861 5.06632
0.48697 -0.384272 4.7033
0.521367 -0.388927 4.74618
0.545662 -0.39455 4.73997
0.562645 -0.395052 4.66384
0.583786 -0.405621 4.62392
0.674335 -0.429754 4.92171
0.626973 -0.426861 4.55953
0.626631 -0.430351 4.43828
3.64904 -0.903025 9.97471
0.664381 -0.462367 4.44518
0.67185 -0.472346 4.38303
0.778585 -0.512533 4.67562
0.797837 -0.533575 4.77642
9.72098 -2.13213 9.9814
1.65239 -0.77339 9.06743
0.705252 -0.541879 4.14422
0.708651 -0.555814 4.08751
0.722286 -0.577197 4.08622
0.70509 -0.580462 4.03417
0.677102 -0.551795 4.01407
0.585281 -0.494904 3.98324
0.472292 -0.453967 4.01684
0.309086 -0.432005 3.93938
0.136321 -0.430808 3.97048
2.42083 -4.36351 10.0002
-0.222475 -0.430742 3.85333
-0.347097 -0.434163 3.83357
-0.431517 -0.435517 3.79577
-0.502852 -0.474087 4.18677
-0.471238 -0.441926 4.50848
-0.531495 -0.485272 4.12588
-0.52375 -0.445262 3.7614
-0.5281 -0.450821 3.77773
-0.525994 -0.450411 3.7825
-0.529308 -0.451451 3.79798
-0.521401 -0.482931 3.9594
-0.515711 -0.478081 3.8966
-0.512143 -0.476798 3.88146
-0.508516 -0.470282 3.79147
