-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-0.0376771 -0.0952582 0.720697 -0.68564
0.00969107 -0.0638927 -0.62615 0.77702
-0.0141152 -0.0342786 -0.696624 0.716478
0.060294 -0.12705 0.728903 -0.670017
-0.0220952 0.00524775 0.74096 -0.671165
-0.0106931 0.0184697 0.74129 -0.670846
0.0667196 -0.0570007 0.739729 -0.667159
0.0667536 -0.059829 0.737122 -0.669788
0.0688004 -0.0651742 0.732231 -0.67443
0.0599818 -0.0654417 0.729824 -0.677847
0.0323661 -0.0276768 0.723817 -0.688676
-0.0233933 -0.0128852 0.716201 -0.697383
0.185912 -0.0959782 -0.687909 0.694987
0.189336 -0.122102 -0.677145 0.700513
-0.0334046 0.00685424 -0.702522 0.710845
0.24571 -0.171957 -0.647565 0.700512
0.245968 -0.177997 -0.644092 0.702113
0.252985 -0.182898 -0.636858 0.704953
0.271189 -0.206306 -0.629541 0.698264
0.108461 -0.205494 -0.672021 0.703133
0.0902355 -0.0770686 -0.673561 0.729543
0.0822855 -0.204973 -0.67668 0.702367
0.105532 -0.222389 -0.672783 0.697688
0.111938 -0.16444 -0.675658 0.70987
0.273852 -0.221983 -0.628681 0.693173
0.296579 -0.227886 -0.622774 0.687212
0.271412 -0.219749 -0.629873 0.693762
0.0722419 -0.196222 -0.685697 0.697207
0.317224 -0.244922 -0.613928 0.680054
0.0662684 -0.145284 -0.686034 0.709829
0.324804 -0.247147 -0.610588 0.678677
